PRGT:5018,0,"Scanning CD-ROM devices"
PRGV:9784,9743,65536
PRGV:9784,9785,65536
PRGV:9796,9785,65536
PRGV:9796,9797,65536
PRGV:9838,9797,65536
PRGV:9838,9839,65536
PRGV:9851,9839,65536
PRGV:9851,9851,65536
PRGV:9863,9851,65536
PRGV:9863,9864,65536
PRGV:9905,9864,65536
PRGV:9905,9905,65536
PRGV:9917,9905,65536
PRGV:9917,9917,65536
PRGV:9959,9917,65536
PRGV:9959,9959,65536
PRGV:9971,9959,65536
PRGV:9971,9972,65536
PRGV:9984,9972,65536
PRGV:9984,9984,65536
PRGV:10024,9984,65536
PRGV:10024,10025,65536
PRGV:10038,10025,65536
PRGV:10038,10038,65536
PRGV:10072,10038,65536
PRGV:10072,10072,65536
PRGV:10084,10072,65536
PRGV:10084,10084,65536
PRGV:10126,10084,65536
PRGV:10126,10126,65536
PRGV:10138,10126,65536
PRGV:10138,10138,65536
PRGV:10150,10138,65536
PRGV:10150,10150,65536
PRGV:10192,10150,65536
PRGV:10192,10193,65536
PRGV:10205,10193,65536
PRGV:10205,10205,65536
PRGV:10246,10205,65536
PRGV:10246,10246,65536
PRGV:10259,10246,65536
PRGV:10259,10259,65536
PRGV:10271,10259,65536
PRGV:10271,10271,65536
PRGV:10313,10271,65536
PRGV:10313,10313,65536
PRGV:10325,10313,65536
PRGV:10325,10325,65536
PRGV:10367,10325,65536
PRGV:10367,10367,65536
PRGV:10379,10367,65536
PRGV:10379,10379,65536
PRGV:10391,10379,65536
PRGV:10391,10391,65536
PRGV:10433,10391,65536
PRGV:10433,10433,65536
PRGV:10445,10433,65536
PRGV:10445,10445,65536
PRGV:10480,10445,65536
PRGV:10480,10480,65536
PRGV:10493,10480,65536
PRGV:10493,10493,65536
PRGV:10534,10493,65536
PRGV:10534,10534,65536
PRGV:10546,10534,65536
PRGV:10546,10546,65536
PRGV:10558,10546,65536
PRGV:10558,10558,65536
PRGV:10599,10558,65536
PRGV:10599,10599,65536
PRGV:10613,10599,65536
PRGV:10613,10614,65536
PRGV:10654,10614,65536
PRGV:10654,10655,65536
PRGV:10668,10655,65536
PRGV:10668,10668,65536
PRGV:10680,10668,65536
PRGV:10680,10680,65536
PRGV:10721,10680,65536
PRGV:10721,10721,65536
PRGV:10734,10721,65536
PRGV:10734,10734,65536
PRGV:10775,10734,65536
PRGV:10775,10775,65536
PRGV:10788,10775,65536
PRGV:10788,10788,65536
PRGV:10800,10788,65536
PRGV:10800,10800,65536
PRGV:10840,10800,65536
PRGV:10840,10840,65536
PRGV:10852,10840,65536
PRGV:10852,10852,65536
PRGV:10895,10852,65536
PRGV:10895,10896,65536
PRGV:10909,10896,65536
PRGV:10909,10909,65536
PRGV:10921,10909,65536
PRGV:10921,10921,65536
PRGV:10961,10921,65536
PRGV:10961,10962,65536
PRGV:10975,10962,65536
PRGV:10975,10976,65536
PRGV:11008,10976,65536
PRGV:11008,11008,65536
PRGV:11021,11008,65536
PRGV:11021,11021,65536
PRGV:11062,11021,65536
PRGV:11062,11062,65536
PRGV:11073,11062,65536
PRGV:11073,11074,65536
PRGV:11086,11074,65536
PRGV:11086,11086,65536
PRGV:11128,11086,65536
PRGV:11128,11129,65536
PRGV:11132,11129,65536
PRGV:11132,11132,65536
PRGV:11158,11132,65536
PRGV:11158,11158,65536
PRGV:11214,11158,65536
PRGV:11214,11214,65536
PRGV:11226,11214,65536
PRGV:11226,11226,65536
PRGV:11238,11226,65536
PRGV:11238,11239,65536
PRGV:11281,11239,65536
PRGV:11281,11281,65536
PRGV:11294,11281,65536
PRGV:11294,11294,65536
PRGV:11334,11294,65536
PRGV:11334,11334,65536
PRGV:11348,11334,65536
PRGV:11348,11348,65536
PRGV:11360,11348,65536
PRGV:11360,11360,65536
PRGV:11402,11360,65536
PRGV:11402,11403,65536
PRGV:11416,11403,65536
PRGV:11416,11416,65536
PRGV:11455,11416,65536
